employee_id,full_name,gender,age,date_of_birth,marital_status,education_level,domicile_city,domicile_province,hire_date,employment_status,department_id,job_id,manager_id,work_location,employee_type
1001,Bagas Setiawan,Male,41,1984-04-05,Married,Master,Jakarta,DKI Jakarta,2018-04-05,Active,1,3,,Jakarta HQ,Permanent
1002,Naufal Sutanto,Male,38,1987-01-03,Married,Bachelor,Jakarta,DKI Jakarta,2012-06-14,Active,2,5,,Jakarta HQ,Permanent
1003,Satria Hutapea,Male,44,1981-04-15,Married,Bachelor,Jakarta,DKI Jakarta,2016-08-10,Active,3,3,,Jakarta HQ,Permanent
1004,Wahyu Sutanto,Male,43,1982-05-05,Married,Bachelor,Jakarta,DKI Jakarta,2012-05-31,Active,4,7,,Jakarta HQ,Permanent
1005,Yuni Nasution,Female,42,1983-01-24,Married,Master,Surabaya,Jawa Timur,2015-02-25,Active,5,12,,Surabaya Office,Permanent
1006,Leo Rahmawati,Male,51,1974-11-20,Married,Bachelor,Surabaya,Jawa Timur,2014-01-21,Active,6,14,,Surabaya Office,Permanent
1007,Teguh Handayani,Male,51,1974-04-28,Married,Master,Bandung,Jawa Barat,2011-02-18,Active,7,10,,Bandung Office,Permanent
1008,Kirana Iskandar,Female,43,1982-04-22,Married,Bachelor,Jakarta,DKI Jakarta,2012-12-29,Active,8,9,,Jakarta HQ,Permanent
1009,Kurnia Salim,Male,44,1981-05-21,Married,Bachelor,Surabaya,Jawa Timur,2017-09-19,Active,9,17,,Surabaya Office,Permanent
1010,Oki Wijaya,Male,50,1975-06-13,Married,Master,Jakarta,DKI Jakarta,2013-01-01,Active,10,18,,Jakarta HQ,Permanent
1011,Hendra Cahyani,Male,36,1989-08-05,Married,Master,Jakarta,DKI Jakarta,2020-08-23,Active,8,9,1008,Jakarta HQ,Permanent
1012,Farhan Anggraini,Male,27,1998-03-21,Married,Bachelor,Bekasi,Jawa Barat,2024-03-30,Active,1,2,1001,Jakarta HQ,Permanent
1013,Karina Setiawan,Female,27,1998-02-10,Single,Bachelor,Bandung,Jawa Barat,2022-08-14,Active,9,16,1009,Bandung Office,Permanent
1014,Ika Nasution,Female,41,1984-03-12,Married,Bachelor,Makassar,Sulawesi Selatan,2020-01-31,Active,9,17,1009,Jakarta HQ,Permanent
1015,Putra Manurung,Male,32,1993-02-24,Married,Master,Denpasar,Bali,2015-09-30,Terminated,3,3,1003,Jakarta HQ,Permanent
1016,Karina Santoso,Female,37,1988-05-13,Single,High School,Yogyakarta,DI Yogyakarta,2019-03-24,Active,4,8,1004,Jakarta HQ,Permanent
1017,Reza Anggraini,Male,25,2000-02-02,Married,Bachelor,Bandung,Jawa Barat,2023-09-27,Active,4,7,1004,Bandung Office,Contract
1018,Cantika Santoso,Female,23,2002-02-22,Married,Doctorate,Bandung,Jawa Barat,2022-05-05,Active,4,7,1004,Bandung Office,Permanent
1019,Gita Hartono,Female,36,1989-04-18,Married,Bachelor,Bandung,Jawa Barat,2015-08-25,Active,3,3,1003,Bandung Office,Contract
1020,Karina Nugroho,Female,23,2002-04-06,Single,High School,Bandung,Jawa Barat,2022-02-27,Active,4,7,1004,Bandung Office,Permanent
1021,Wahyu Simanjuntak,Male,50,1975-03-07,Married,Diploma,Makassar,Sulawesi Selatan,2018-07-15,Active,9,17,1009,Jakarta HQ,Permanent
1022,Indra Handayani,Male,24,2001-02-20,Married,High School,Bandung,Jawa Barat,2025-07-04,Active,4,7,1004,Bandung Office,Permanent
1023,Nadia Hidayat,Female,42,1983-05-13,Single,Bachelor,Bandung,Jawa Barat,2020-06-02,Active,5,12,1005,Bandung Office,Permanent
1024,Irfan Pangestu,Male,27,1998-04-12,Divorced,Master,Bandung,Jawa Barat,2023-08-14,Active,1,2,1001,Bandung Office,Permanent
